tt0001028	United Kingdom
tt0002026	Norway
tt0001353	France
tt0000574	Australia
tt0000009	United States
tt0001080	United Kingdom
tt0002405	United States
tt0002115	France
tt0001630	Germany
tt0001240	Denmark
tt0000679	United States
tt0002109	United States
tt0002112	Portugal
tt0000959	Spain
tt0002019	Spain
tt0002119	Australia
tt0000868	Spain
tt0002406	United Kingdom
tt0002432	Spain
tt0000886	France
tt0002094	United Kingdom
tt0001911	Australia
tt0002276	Netherlands
tt0001603	Denmark
tt0001101	United States
tt0001711	Germany
tt0001914	Germany,Denmark
tt0001010	Spain
tt0002591	Germany
tt0001069	Spain
tt0002395	France
tt0001082	Mexico
tt0001147	Portugal
tt0002286	United Kingdom
tt0002161	Portugal
tt0000947	Denmark
tt0002438	United Kingdom
tt0001247	United Kingdom
tt0002590	Germany,Denmark
tt0001081	Spain
tt0001993	France
tt0001338	Russia
tt0001530	Australia
tt0000147	United States
tt0001495	United Kingdom
tt0002361	Australia
tt0001889	Denmark
tt0002333	Germany
tt0002220	United States
tt0001277	Denmark
tt0002031	United States
tt0002199	United States
tt0001038	Denmark
tt0002589	Portugal
tt0001803	Australia
tt0001115	Denmark
tt0002474	Czechoslovakia
tt0000941	Spain
tt0001521	Denmark
tt0001122	France
tt0001998	United States
tt0001364	Spain
tt0002345	Netherlands
tt0001359	Portugal
tt0001465	Portugal
tt0001109	France
tt0001778	Denmark
tt0000630	Italy
tt0001602	Spain
tt0000838	Portugal
tt0001992	Germany
tt0001007	Spain
tt0002423	Germany
tt0001285	United States
tt0002375	France
tt0001422	United States
tt0002022	Russia
tt0000879	Mexico
tt0001179	Mexico
tt0000984	Mexico
tt0001379	United Kingdom
tt0002574	United States
tt0000842	Spain
tt0002335	Spain
tt0001163	Portugal
tt0001586	United States
tt0000846	Mexico
tt0002559	Germany
tt0002102	United States
tt0001142	United Kingdom
tt0000867	Mexico
tt0002239	United States
tt0001604	Australia
tt0001628	United States
tt0002089	United Kingdom
tt0001382	Portugal
tt0001370	Portugal
tt0002445	Italy
tt0001785	Australia
tt0002362	United Kingdom
tt0001648	Australia
tt0000591	France
tt0001141	United Kingdom
tt0001712	United Kingdom
tt0001341	Czechoslovakia
tt0000615	Australia
tt0002431	France
tt0001756	Spain
tt0002242	United Kingdom
tt0001366	Spain
tt0002444	United States
tt0002461	France,United States
tt0001716	United Kingdom
tt0001895	Portugal
tt0002517	Netherlands
tt0001515	United States
tt0002131	Portugal
tt0002130	Italy
tt0002101	United States
tt0001116	Denmark
tt0001964	Germany
tt0001826	France
tt0002188	United States
tt0001965	Spain
tt0001440	Denmark
tt0002301	Portugal
tt0002500	Denmark
tt0002047	Portugal
tt0000675	Spain
tt0001764	Mexico
tt0002140	Australia
tt0002452	Romania
tt0001159	United States
tt0002348	Germany
tt0001112	Italy
tt0001175	France
tt0002156	Spain
tt0002467	United Kingdom
tt0002458	Mexico
tt0000859	Spain
tt0002439	United Kingdom
tt0002410	United Kingdom
tt0001051	Spain
tt0001059	Portugal
tt0002337	United States
tt0002514	Sweden
tt0002425	United States
tt0002044	France
tt0002039	United States
tt0001498	United States
tt0001043	United Kingdom
tt0002060	Hungary
tt0001592	Denmark
tt0002328	United Kingdom
tt0002152	Denmark
tt0002525	Australia
tt0001475	Romania
tt0001348	Denmark
tt0001049	Denmark
tt0001731	Australia
tt0001614	Denmark
tt0001386	France
tt0002670	United States
tt0002953	Spain
tt0003024	United States
tt0003056	United States
tt0002978	United States
tt0002739	Spain,Italy
tt0002917	Sweden
tt0003058	United States
tt0002996	Hungary
tt0002958	Spain
tt0002727	Denmark
tt0002844	France
tt0002186	Denmark
tt0000862	Denmark
tt0002883	France
tt0001780	Denmark
tt0002153	Denmark
tt0002046	Spain
tt0002898	France
tt0002594	Australia
tt0002880	Russia
tt0001230	United States
tt0001892	Germany,Denmark
tt0002637	United States
tt0001706	United States
tt0002556	Denmark
tt0003022	United States
tt0001790	France
tt0002790	Spain
tt0002625	Spain
tt0003124	Spain
tt0002987	Russia
tt0001920	Mexico
tt0002928	N/A
tt0002088	Portugal
tt0002165	Spain
tt0002822	United States
tt0000502	Spain
tt0002646	Denmark
tt0003140	United States
tt0000850	Spain
tt0002491	Australia
tt0002857	Portugal
tt0002832	Canada
tt0002605	United States
tt0002555	Hungary
tt0000869	Spain
tt0001184	Spain
tt0002798	France
tt0003015	Germany
tt0003294	Spain
tt0002764	Spain
tt0002722	Denmark
tt0001113	Spain
tt0002157	Germany
tt0002572	Germany,Denmark
tt0003165	France
tt0002785	France
tt0003167	United States
tt0002588	France
tt0002771	Spain
tt0002679	Italy
tt0001531	Australia
tt0002823	Germany
tt0003108	Germany
tt0003160	Spain
tt0003599	United States
tt0002624	Spain
tt0003602	United States
tt0003051	Germany
tt0003150	Sweden
tt0002820	United Kingdom
tt0002743	Spain
tt0002886	Spain
tt0002661	Spain
tt0003037	France
tt0002977	Russia
tt0002763	Spain
tt0003139	United States
tt0002765	Spain
tt0002315	Spain
tt0002799	Portugal
tt0003053	Spain
tt0003042	Denmark
tt0003243	United Kingdom
tt0002901	United States
tt0003230	United States
tt0003002	Denmark
tt0002305	United States,Mexico
tt0002725	United States
tt0002001	United States
tt0003218	Spain
tt0003006	United States
tt0003039	Russia
tt0002262	France
tt0002479	United Kingdom
tt0003116	United States
tt0003668	United States
tt0003665	United States
tt0002595	Germany
tt0002446	United States
tt0003600	United States
tt0002735	France
tt0003654	United States
tt0003113	Spain
tt0003131	Belgium,France
tt0001203	Spain
tt0002685	Sweden
tt0003589	United Kingdom
tt0002211	Denmark
tt0002973	Australia
tt0003143	Netherlands
tt0003590	Hungary
tt0003664	United States
tt0003576	United States
tt0002676	Spain
tt0003634	United States
tt0003675	United States
tt0002859	United States
tt0003657	United States
tt0003676	United States
tt0003070	United States
tt0003241	United States
tt0003771	United States
tt0003772	United States
tt0003802	United States
tt0002660	United States
tt0003076	Sweden
tt0003693	United States
tt0003084	Germany
tt0003735	Hungary
tt0003306	Sweden
tt0003298	United States
tt0003737	Spain
tt0003502	Germany
tt0003301	United States
tt0003493	Germany
tt0003508	United States
tt0003816	United States
tt0003732	United States
tt0003730	United States
tt0003688	United States
tt0003048	United States
tt0001812	United Kingdom
tt0002163	Germany
tt0002767	United States
tt0003744	United States
tt0003746	Spain
tt0002642	Denmark
tt0003606	United States
tt0002648	Germany
tt0002801	Belgium
tt0003010	Spain
tt0003438	United States
tt0002628	Germany
tt0003610	Spain
tt0003545	United States
tt0003506	United Kingdom
tt0003822	Spain
tt0003423	Germany
tt0003456	United States
tt0003511	United States
tt0003305	France
tt0003472	Spain
tt0003840	United States
tt0003431	Germany
tt0003743	United States
tt0003608	Spain
tt0003449	United States
tt0003489	Italy
tt0003856	United States
tt0003014	Sweden
tt0003406	Germany
tt0003790	United States
tt0003831	United States
tt0003689	United States
tt0003584	United States
tt0003622	Brazil
tt0003596	United States
tt0003871	United States
tt0003669	Hungary
tt0003878	Portugal
tt0003655	United States
tt0003643	United States
tt0003742	Spain
tt0003817	United States
tt0003240	Italy
tt0002833	Germany
tt0003631	United States
tt0003765	United States
tt0003757	Spain
tt0003756	United States
tt0003637	Italy
tt0003593	United States
tt0003598	United States
tt0002858	Spain
tt0002888	Spain
tt0002916	Germany
tt0003008	United States
tt0002540	Denmark
tt0002885	United States
tt0003289	United States
tt0001555	Portugal
tt0003098	United States
tt0003629	Spain
tt0003404	United States
tt0003227	Sweden
tt0003441	Russia
tt0002649	Australia
tt0002665	Czechoslovakia
tt0003379	United Kingdom
tt0003159	France
tt0003888	United States
tt0003613	United States
tt0003464	United States
tt0003935	United States
tt0003887	Spain
tt0003736	United States
tt0002751	Russia
tt0003925	United States
tt0003997	Spain
tt0004000	United States
tt0003867	Spain
tt0003686	United States
tt0003930	France
tt0003366	United States
tt0004009	Germany
tt0003960	Belgium
tt0003889	Germany
tt0003993	United Kingdom
tt0003670	United States
tt0003587	N/A
tt0003507	United Kingdom
tt0003595	United States
tt0003677	United States
tt0003804	United States
tt0003929	United States
tt0003731	United States
tt0003442	United States
tt0003854	United States
tt0003967	Germany
tt0003987	United States
tt0003954	Spain
tt0003924	United States
tt0003897	United States
tt0003808	Spain
tt0003630	Hungary
tt0003883	France
tt0003334	United Kingdom
tt0003838	United States
tt0003973	United States
tt0003806	Austria
tt0002772	United States
tt0003747	United States
tt0003510	United States
tt0003623	Spain
tt0003724	United States
tt0003619	Spain
tt0003893	United States
tt0003875	United States
tt0003825	United States
tt0003807	Spain
tt0003988	United States
tt0003685	Denmark
tt0003955	Spain
tt0003971	United States
tt0003102	Italy
tt0003605	United States
tt0003625	Russia
tt0003597	Germany
tt0003692	United States
